Stacktrace,Expected Elements
"Exception in thread ""main"" java.lang.IllegalArgumentException: init argument cannot be less than -1
 at java.lang.management.MemoryUsage.<init>(MemoryUsage.java:94)
 at org.example.openj9.Test.main(Test.java:12)","[
    ('ExceptionType', 'java.lang.IllegalArgumentException'),
    ('ExceptionMessage', 'init argument cannot be less than -1'),
    ('ClassElem', 'java.lang.management.MemoryUsage'),
    ('MethodElem', '<init>'),
    ('FileElem', 'MemoryUsage.java'),
    ('LineElem', '94'),
    ('ClassElem', 'org.example.openj9.Test'),
    ('MethodElem', 'main'),
    ('FileElem', 'Test.java'),
    ('LineElem', '12')
]"
"java.lang.UnsatisfiedLinkError: Failed to load library ""/tmp/sqlite-3.40.0.0-de037963-60f3-4ab5-886b-cbe43d6a1a5f-libsqlitejdbc.so"" 
at java.base/jdk.internal.loader.NativeLibraries.load(Native Method) 
at com.reposilite.ReposiliteLauncherKt.main(ReposiliteLauncher.kt:22)","[
    ('ExceptionType', 'java.lang.UnsatisfiedLinkError'),
    ('ExceptionMessage', 'Failed to load library ""/tmp/sqlite-3.40.0.0-de037963-60f3-4ab5-886b-cbe43d6a1a5f-libsqlitejdbc.so""'),
    ('ClassElem', 'java.base/jdk.internal.loader.NativeLibraries'),
    ('MethodElem', 'load'),
    ('FileElem', 'Native Method'),
    ('LineElem', ''),
    ('ClassElem', 'com.reposilite.ReposiliteLauncherKt'),
    ('MethodElem', 'main'),
    ('FileElem', 'ReposiliteLauncher.kt'),
    ('LineElem', '22')
]"
".326 ERROR | HikariPool-1 - Exception during pool initialization.: java.sql.SQLException: Error opening connection
 at org.sqlite.SQLiteConnection.open(SQLiteConnection.java:281)
 Caused by: java.lang.Exception: No native library found for os.name=Linux, os.arch=x86_64, paths=[/org/sqlite/native/Linux/x86_64:/home/user/bin/openj9/lib/default:/home/user/bin/openj9/lib:/usr/lib64:/usr/lib]
 at org.sqlite.SQLiteConnection.open(SQLiteConnection.java:278)","[
    ('ExceptionType', 'java.sql.SQLException'),
    ('ExceptionMessage', 'Error opening connection'),
    ('ClassElem', 'org.sqlite.SQLiteConnection'),
    ('MethodElem', 'open'),
    ('FileElem', 'SQLiteConnection.java'),
    ('LineElem', '281'),
    ('ExceptionType', 'java.lang.Exception'),
    ('ExceptionMessage', 'No native library found for os.name=Linux, os.arch=x86_64, paths=[/org/sqlite/native/Linux/x86_64:/home/user/bin/openj9/lib/default:/home/user/bin/openj9/lib:/usr/lib64:/usr/lib]'),
    ('ClassElem', 'org.sqlite.SQLiteConnection'),
    ('MethodElem', 'open'),
    ('FileElem', 'SQLiteConnection.java'),
    ('LineElem', '278')
]"
"Exception in thread ""main"" com.zaxxer.hikari.pool.HikariPool$PoolInitializationException: Failed to initialize pool: Error opening connection
 at com.zaxxer.hikari.pool.HikariPool.throwPoolInitializationException(HikariPool.java:596)
 Caused by: java.sql.SQLException: Error opening connection
 Caused by: java.lang.Exception: No native library found for os.name=Linux, os.arch=x86_64, paths=[/org/sqlite/native/Linux/x86_64:/home/user/bin/openj9/lib/default:/home/user/bin/openj9/lib:/usr/lib64:/usr/lib]
 at org.sqlite.SQLiteConnection.open(SQLiteConnection.java:278)","[
    ('ExceptionType', 'com.zaxxer.hikari.pool.HikariPool$PoolInitializationException'),
    ('ExceptionMessage', 'Failed to initialize pool: Error opening connection'),
    ('ClassElem', 'com.zaxxer.hikari.pool.HikariPool'),
    ('MethodElem', 'throwPoolInitializationException'),
    ('FileElem', 'HikariPool.java'),
    ('LineElem', '596'),
    ('ExceptionType', 'java.sql.SQLException'),
    ('ExceptionMessage', 'Error opening connection'),
    ('ExceptionType', 'java.lang.Exception'),
    ('ExceptionMessage', 'No native library found for os.name=Linux, os.arch=x86_64, paths=[/org/sqlite/native/Linux/x86_64:/home/user/bin/openj9/lib/default:/home/user/bin/openj9/lib:/usr/lib64:/usr/lib]'),
    ('ClassElem', 'org.sqlite.SQLiteConnection'),
    ('MethodElem', 'open'),
    ('FileElem', 'SQLiteConnection.java'),
    ('LineElem', '278')
]"
"java.lang.ArrayIndexOutOfBoundsException
 at java.lang.CharacterDataLatin1.getProperties(CharacterDataLatin1.java:72)
 at ToLowerCase.main(ToLowerCase.java:44)","[
    ('ExceptionType', 'java.lang.ArrayIndexOutOfBoundsException'),
    ('ClassElem', 'java.lang.CharacterDataLatin1'),
    ('MethodElem', 'getProperties'),
    ('FileElem', 'CharacterDataLatin1.java'),
    ('LineElem', '72'),
    ('ClassElem', 'ToLowerCase'),
    ('MethodElem', 'main'),
    ('FileElem', 'ToLowerCase.java'),
    ('LineElem', '44')
]"
"Exception in thread """" java.lang.IllegalMonitorStateException
 at java.base/java.util.concurrent.locks.ReentrantLock$Sync.tryRelease(ReentrantLock.java:175)
 at java.base/jdk.internal.vm.Continuation.enter(Continuation.java:171)","[
    ('ExceptionType', 'java.lang.IllegalMonitorStateException'),
    ('ClassElem', 'java.base/java.util.concurrent.locks.ReentrantLock$Sync'),
    ('MethodElem', 'tryRelease'),
    ('FileElem', 'ReentrantLock.java'),
    ('LineElem', '175'),
    ('ClassElem', 'java.base/jdk.internal.vm.Continuation'),
    ('MethodElem', 'enter'),
    ('FileElem', 'Continuation.java'),
    ('LineElem', '171')
]"
"java.lang.RuntimeException: count = 29106
 at PinALot.main(PinALot.java:73)
 at java.base/java.lang.Thread.run(Thread.java:1639)","[
    ('ExceptionType', 'java.lang.RuntimeException'),
    ('ExceptionMessage', 'count = 29106'),
    ('ClassElem', 'PinALot'),
    ('MethodElem', 'main'),
    ('FileElem', 'PinALot.java'),
    ('LineElem', '73'),
    ('ClassElem', 'java.base/java.lang.Thread'),
    ('MethodElem', 'run'),
    ('FileElem', 'Thread.java'),
    ('LineElem', '1639')
]"
"Exception in thread """" java.lang.IllegalMonitorStateException
 at java.base/java.util.concurrent.locks.ReentrantLock$Sync.tryRelease(ReentrantLock.java:175)
 at java.base/jdk.internal.vm.Continuation.enter(Continuation.java:171)","[
    ('ExceptionType', 'java.lang.IllegalMonitorStateException'),
    ('ClassElem', 'java.base/java.util.concurrent.locks.ReentrantLock$Sync'),
    ('MethodElem', 'tryRelease'),
    ('FileElem', 'ReentrantLock.java'),
    ('LineElem', '175'),
    ('ClassElem', 'java.base/jdk.internal.vm.Continuation'),
    ('MethodElem', 'enter'),
    ('FileElem', 'Continuation.java'),
    ('LineElem', '171')
]"
"java.lang.RuntimeException: count = 240021
 at PinALot.main(PinALot.java:73)
 at java.base/java.lang.Thread.run(Thread.java:1639)","[
    ('ExceptionType', 'java.lang.RuntimeException'),
    ('ExceptionMessage', 'count = 240021'),
    ('ClassElem', 'PinALot'),
    ('MethodElem', 'main'),
    ('FileElem', 'PinALot.java'),
    ('LineElem', '73'),
    ('ClassElem', 'java.base/java.lang.Thread'),
    ('MethodElem', 'run'),
    ('FileElem', 'Thread.java'),
    ('LineElem', '1639')
]"
"java.security.ProviderException: Initialization failed
 at jdk.crypto.cryptoki/sun.security.pkcs11.SunPKCS11.<init>(SunPKCS11.java:465)
 Caused by: sun.security.pkcs11.wrapper.PKCS11Exception: 0xCE534351(CKR_NSS_CERTDB_FAILED)
 at jdk.crypto.cryptoki/sun.security.pkcs11.SunPKCS11.<init>(SunPKCS11.java:368)","[
    ('ExceptionType', 'java.security.ProviderException'),
    ('ExceptionMessage', 'Initialization failed'),
    ('ClassElem', 'jdk.crypto.cryptoki/sun.security.pkcs11.SunPKCS11'),
    ('MethodElem', '<init>'),
    ('FileElem', 'SunPKCS11.java'),
    ('LineElem', '465'),
    ('ExceptionType', 'sun.security.pkcs11.wrapper.PKCS11Exception'),
    ('ExceptionMessage', '0xCE534351(CKR_NSS_CERTDB_FAILED)'),
    ('ClassElem', 'jdk.crypto.cryptoki/sun.security.pkcs11.SunPKCS11'),
    ('MethodElem', '<init>'),
    ('FileElem', 'SunPKCS11.java'),
    ('LineElem', '368')
]"
